196,107,144,339,636,2080,2778,1794,1835,368,323,67
76,75,73,240,438,1892,2913,2451,1879,785,276,191
36,135,150,243,428,1130,2644,2142,1656,607,115,89
86,158,106,169,683,2278,3069,2334,2062,932,187,40
98,113,130,232,505,1926,3079,2186,2105,566,63,71
9,21,159,165,425,1232,2968,1956,1620,464,95,25
291,234,240,353,674,1423,1564,1569,1483,1077,188,364
108,91,102,361,665,1303,2940,3393,2124,798,273,140
21,107,80,82,877,1900,2241,3220,1616,865,205,71
38,165,151,211,495,1876,2717,1768,1840,877,528,111
13,32,330,236,530,1606,2927,2646,1433,493,347,61
100,94,90,188,596,2130,3311,1902,1685,739,596,61
179,36,189,165,621,2043,2690,1879,1880,830,282,155
70,74,82,203,383,1593,2924,2426,2385,866,269,304
96,98,136,199,528,1940,2728,2479,1327,737,321,501
48,12,222,124,711,1977,3159,2218,1390,1319,214,170
175,6,148,209,551,1898,3013,2574,1507,879,411,130
197,136,119,259,531,1323,2742,2800,1249,382,530,72
106,134,66,243,448,2035,2797,2780,1693,940,253,68
26,11,172,261,358,2279,3009,2141,1626,647,351,136
114,134,348,207,595,833,2571,2297,2222,602,172,71
53,106,56,328,541,1579,3138,3062,2134,993,126,69
224,283,467,252,946,2416,2568,2309,2256,969,642,22
114,144,181,247,359,2168,3114,2415,2017,1388,385,137
109,77,118,376,415,1982,2566,2299,1388,793,134,119
31,61,68,170,412,2034,2845,2633,772,149,435,174
92,124,207,216,435,1425,2599,2904,1981,856,130,18
21,307,28,211,375,1716,2929,2208,1992,654,392,125
58,66,74,522,526,1951,1878,1441,1020,507,41,26
153,67,103,385,406,1286,2521,2713,2372,489,104,141
273,336,113,315,391,1149,2225,2590,1255,539,431,95
66,25,101,353,418,1038,2796,1971,2112,697,278,269
85,54,102,121,562,1269,2789,2593,1957,1288,434,152
59,86,203,311,686,1795,2475,1970,1261,706,89,98
127,144,286,271,476,907,2456,2052,1748,609,98,25
151,385,219,135,327,1818,2875,2418,1738,543,199,264
62,324,256,523,264,1541,2217,3013,1003,205,237,128
156,126,67,156,390,1278,3164,2955,1573,424,59,18
162,57,30,605,518,2098,2961,2225,1608,368,101,244
54,42,79,211,357,2117,2377,2827,2028,1085,379,3
162,13,240,196,441,1925,1533,2110,1794,725,414,114
70,187,129,309,362,1058,3206,2579,1215,660,559,25
11,310,163,204,701,2151,2642,1881,1169,731,178,208
12,120,147,344,634,1615,3208,2328,1828,410,206,156
183,256,390,259,631,1566,2298,2131,1810,887,545,61
11,93,33,233,481,1991,2581,2897,2036,1473,508,29
32,346,145,233,714,2143,2466,2755,2678,1595,316,45
106,20,145,186,880,1812,1435,2204,1055,147,472,111
374,122,115,203,512,1794,2712,2807,1531,707,589,137
206,87,255,227,454,1426,2916,1628,1219,484,303,5
295,22,110,319,295,1672,2666,2361,1958,663,191,46
228,46,41,168,370,1803,2909,2027,1949,517,647,92
107,263,158,207,398,936,2970,2604,1720,608,207,138
140,70,54,226,406,1108,2999,2250,2269,617,628,105
43,23,94,305,806,1871,2858,2133,1173,720,433,176
266,50,417,270,517,815,2876,3236,2099,531,109,57
79,232,163,233,440,1611,3194,2217,1507,613,611,93
99,281,86,229,409,1541,2834,1982,1320,1238,169,168
178,152,96,405,457,1828,2870,2212,1301,919,200,264
88,116,113,249,536,1731,2801,1783,1729,973,593,97
41,174,97,212,430,1148,2826,2898,1898,1282,464,245
14,159,112,222,655,1121,3136,2041,1735,703,606,79
78,202,106,359,1010,2023,2572,3102,2059,913,196,175
146,74,87,257,332,2035,2547,2838,1712,692,341,51
147,104,64,283,205,1402,3046,2217,1767,544,108,90
60,291,182,187,837,2394,2604,2189,1895,702,624,103
10,410,118,485,469,1557,3282,1891,1688,946,213,100
115,145,154,193,645,2388,2677,2420,1596,782,167,32
73,161,179,288,287,1474,2528,2367,1524,935,333,12
75,171,341,193,672,1693,2883,2843,1112,722,455,150
196,103,70,231,608,1642,2182,2098,1359,681,272,126
133,274,92,341,425,1738,3224,2807,1806,382,206,222
405,75,113,352,764,1533,2971,2137,2040,985,186,35
188,280,505,238,400,1372,3460,2974,1397,954,300,88
235,56,47,339,405,1588,3137,2257,2126,829,200,28
10,110,151,431,527,2074,2822,2767,1372,884,850,316
169,108,161,306,395,1227,2908,2960,2357,687,67,194
254,141,118,275,651,1504,2794,2608,1831,659,815,35
41,109,53,370,804,1380,2946,2382,2329,997,106,11
58,178,223,80,439,1468,3229,2237,1835,520,331,72
59,20,279,362,470,1551,2543,2075,1218,795,339,9
22,114,153,273,646,1617,2765,2367,1178,811,63,180
192,43,101,273,365,1563,3000,2868,1797,932,137,18
128,162,118,197,442,1381,2837,2229,2405,797,18,134
155,28,125,284,659,1797,2239,3039,2225,1451,315,106
85,71,162,226,869,2079,3415,2537,1800,1524,484,89
244,69,260,191,494,1453,2619,2603,1210,596,260,65
70,106,97,281,602,1151,2899,2700,2141,1020,350,49
203,102,96,227,584,1572,3211,2501,2156,1333,214,43
89,11,232,130,554,1460,2776,2502,1657,760,391,50
165,245,163,175,675,1870,3162,2737,2432,1257,186,70
91,110,115,345,581,1059,2593,2362,2082,844,152,287
73,51,141,321,471,1524,2396,3029,1628,988,228,100
14,57,83,248,437,1437,3130,2636,2021,733,257,65
55,92,149,243,346,1104,2668,1893,1427,362,158,221
147,52,51,161,520,1658,2375,1982,1384,580,611,178
92,27,527,225,333,1414,2924,2573,1688,420,131,496
150,121,201,269,316,1364,2886,1947,1348,703,238,70
40,28,95,241,557,1210,3004,2387,1709,596,438,139
169,207,184,240,580,2108,2228,2989,2072,762,194,8
114,103,93,460,701,2194,2493,2588,1592,1052,138,100
25,131,48,205,448,1226,1838,2172,1292,633,308,160
46,119,78,195,488,1412,2786,3074,1860,1259,196,178
19,38,139,222,606,1059,2736,2281,1403,1065,119,42
67,95,137,164,405,1801,2900,2646,2278,1217,250,27
47,81,125,298,367,1418,2881,2786,1481,319,616,40
70,57,84,489,719,1883,3106,2394,1447,893,714,85
73,216,195,233,503,1996,2760,2735,1601,551,441,230
146,272,99,157,405,1434,2258,1990,1395,461,883,120
44,53,169,245,440,2150,2782,2534,1360,518,242,178
163,73,247,275,583,1386,2889,2263,1983,509,292,128
167,110,249,365,504,1296,2162,2684,1209,487,504,56
73,106,126,353,549,1378,2737,2934,2507,899,122,262
161,266,122,279,390,1738,2612,2591,1424,601,132,78
171,69,96,236,439,1404,2534,2185,1474,1138,193,131
147,280,75,310,435,1776,2384,2135,1134,706,386,169
113,93,166,216,448,1158,2068,2370,1374,866,541,234
25,111,188,319,502,1564,3232,2762,2056,501,225,102
61,38,191,166,426,1835,2862,2310,1658,485,149,121
51,256,237,299,1077,1721,2630,2833,1900,1007,334,88
79,76,123,282,440,1795,2538,2311,1208,604,347,124
62,94,48,150,449,1255,2329,2699,1565,631,487,69
34,145,178,255,587,1836,2804,1985,2041,907,290,219
131,198,130,392,403,2173,3215,2695,1444,896,332,36
269,122,165,190,848,1285,2741,2324,1652,844,384,58
131,176,131,262,422,1889,2440,2755,1502,953,162,158
104,42,146,421,421,1811,2596,2631,1676,745,596,565
140,149,257,275,451,1511,2566,2419,2097,1168,492,107
41,115,30,148,950,1767,2472,2128,1852,1233,169,38
54,252,76,292,810,1875,2490,2094,1323,426,134,71
48,63,118,399,620,2305,2625,1887,1117,1130,222,65
110,185,107,284,581,1726,1176,2391,1326,651,237,50
47,273,180,275,305,1637,2847,2229,1782,1020,162,128